date,flow_cfs
1999-05-29,105
1999-05-30,101
1999-05-31,88
1999-06-01,103
1999-06-02,97
1999-06-03,91
1999-06-04,84
1999-06-05,79
1999-06-06,71
1999-06-07,65
1999-06-08,59
1999-06-09,53
1999-06-10,49
1999-06-11,45
1999-06-12,43
1999-06-13,40
1999-06-14,37
1999-06-15,36
1999-06-16,33
1999-06-17,33
1999-06-18,49
1999-06-19,66
1999-06-20,68
1999-06-21,68
1999-06-22,68
1999-06-23,66
1999-06-24,65
1999-06-25,40
1999-06-26,36
1999-06-27,33
1999-06-28,30
1999-06-29,28
1999-06-30,26
1999-07-01,24
1999-07-02,22
1999-07-03,31
1999-07-04,52
1999-07-05,52
1999-07-06,52
1999-07-07,51
1999-07-08,52
1999-07-09,51
1999-07-10,51
1999-07-11,50
1999-07-12,50
1999-07-13,50
1999-07-14,50
1999-07-15,50
1999-07-16,18
1999-07-17,16
1999-07-18,14
1999-07-19,13
1999-07-20,11
1999-07-21,10
1999-07-22,52
1999-07-23,55
1999-07-24,55
1999-07-25,55
1999-07-26,55
1999-07-27,55
1999-07-28,54
1999-07-29,55
1999-07-30,59
1999-07-31,59
1999-08-01,55
1999-08-02,55
1999-08-03,55
1999-08-04,55
1999-08-05,55
