sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
25497,2039-07-22,2039,7,22,12,2,2,79,15,326,115,419
25498,2039-07-23,2039,7,23,12,2,2,57,7,350,142,413
25499,2039-07-24,2039,7,24,23,2,2,54,5,363,147,415
25500,2039-07-25,2039,7,25,23,2,2,38,4,412,142,417
25501,2039-07-26,2039,7,26,41,4,5,45,7,449,143,504
25502,2039-07-27,2039,7,27,38,3,3,31,4,465,138,501
25503,2039-07-28,2039,7,28,36,3,1,18,4,453,125,495
25504,2039-07-29,2039,7,29,47,5,1,23,4,459,136,517
25505,2039-07-30,2039,7,30,65,7,1,23,4,466,119,530
25506,2039-07-31,2039,7,31,53,6,1,13,3,459,103,530
25507,2039-08-01,2039,8,1,51,6,1,9,3,469,126,530
25508,2039-08-02,2039,8,2,44,5,1,7,1,470,112,532
25509,2039-08-03,2039,8,3,38,5,1,7,1,445,103,530
25510,2039-08-04,2039,8,4,32,4,1,5,1,417,95,519
25511,2039-08-05,2039,8,5,26,3,0,5,1,391,75,512
25512,2039-08-06,2039,8,6,23,2,0,4,1,378,69,490
25513,2039-08-07,2039,8,7,23,2,0,4,1,368,59,453
25514,2039-08-08,2039,8,8,21,2,0,4,1,361,56,418
25515,2039-08-09,2039,8,9,23,2,0,4,1,356,55,405
25516,2039-08-10,2039,8,10,23,2,0,4,1,347,55,402
25517,2039-08-11,2039,8,11,23,2,0,4,1,337,55,397
25518,2039-08-12,2039,8,12,18,2,0,4,1,329,55,390
25519,2039-08-13,2039,8,13,17,2,0,4,1,316,50,385
25520,2039-08-14,2039,8,14,13,2,5,5,2,322,98,427
25521,2039-08-15,2039,8,15,13,1,5,8,5,344,137,469
25522,2039-08-16,2039,8,16,11,1,3,9,1,353,117,439
25523,2039-08-17,2039,8,17,10,1,2,6,1,336,100,437
25524,2039-08-18,2039,8,18,10,1,2,4,1,320,69,418
25525,2039-08-19,2039,8,19,10,1,2,4,1,307,57,402
25526,2039-08-20,2039,8,20,10,1,6,4,10,297,55,446
25527,2039-08-21,2039,8,21,10,1,8,3,15,304,135,470
25528,2039-08-22,2039,8,22,10,1,3,3,3,339,274,437
25529,2039-08-23,2039,8,23,5,1,3,3,1,350,209,421
25530,2039-08-24,2039,8,24,5,1,12,6,24,349,155,592
25531,2039-08-25,2039,8,25,5,1,9,8,20,344,152,651
25532,2039-08-26,2039,8,26,19,2,61,37,92,472,574,1133
25533,2039-08-27,2039,8,27,23,2,13,40,34,604,440,1180
25534,2039-08-28,2039,8,28,24,2,4,43,23,600,276,1095
