sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat,
22,1929-10-22,1929,10,22,287.24,189.43,74.1,6353.88,224.37,14362.13,458.57,1587,1589
23,1929-10-23,1929,10,23,287.24,298.01,19.67,9177.82,299.61,68196.39,9276.05,10439,10440
24,1929-10-24,1929,10,24,287.24,236.05,9.51,1883.86,78.6,31484.21,4077.88,18440,18436
25,1929-10-25,1929,10,25,287.24,138.68,7.54,876.15,57.77,18298.95,2210.72,70407,70406
26,1929-10-26,1929,10,26,287.24,100.32,6.56,609.06,51.05,12292.93,1030.67,32515,32514
27,1929-10-27,1929,10,27,287.24,78.49,6.56,416.21,47.02,8352.95,924.62,19224,19228
28,1929-10-28,1929,10,28,287.24,62.55,6.23,324.15,42.99,6422.97,857.4,13150,13153
29,1929-10-29,1929,10,29,287.24,52.52,6.23,236.71,42.32,5089.39,760.31,9113,9058
30,1929-10-30,1929,10,30,287.24,50.75,7.21,236.71,42.99,4228.5,696.08,7119,7026
31,1929-10-31,1929,10,31,287.24,49.57,8.53,324.15,56.43,3857.62,857.4,5947,5874
32,1929-11-01,1929,11,1,238.86,46.03,7.21,236.71,53.74,3548.65,791.68,5020,5037
33,1929-11-02,1929,11,2,201.97,44.26,6.89,236.71,48.37,3601.18,663.22,4521,4587
34,1929-11-03,1929,11,3,403.34,178.21,18.69,195.35,118.9,4518.47,2016.53,5565,5618
35,1929-11-04,1929,11,4,749.84,312.76,16.39,324.15,192.8,7985.73,5048.8,8650,8675
36,1929-11-05,1929,11,5,455.34,218.34,9.51,324.15,90.02,10903.4,3450.51,7969,7985
37,1929-11-06,1929,11,6,347.71,146.35,8.85,236.71,69.19,11230.89,2599.09,10585,10594
38,1929-11-07,1929,11,7,284.21,108.58,7.87,242.13,61.8,8340.75,1837.29,12741,12745
39,1929-11-08,1929,11,8,236.44,85.57,7.87,229.9,57.77,6820.18,1180.04,12411,12429
40,1929-11-09,1929,11,9,212.86,70.81,7.54,206.53,55.08,5581.69,1030.67,9371,9402
41,1929-11-10,1929,11,10,186.85,59.6,7.21,194.88,51.05,4656.74,958.97,7779,7698
42,1929-11-11,1929,11,11,185.04,56.65,7.54,183.27,49.71,3855.02,924.62,6506,6247
43,1929-11-12,1929,11,12,186.85,51.34,7.21,183.27,49.71,3496.39,791.68,5448,5306
44,1929-11-13,1929,11,13,163.27,44.85,7.54,172.19,48.37,3474.06,760.31,4615,4644
45,1929-11-14,1929,11,14,166.9,46.03,7.87,172.19,51.05,3462.02,857.4,4354,4577
46,1929-11-15,1929,11,15,225.56,55.47,9.84,172.19,55.76,3402.89,824.54,4299,4416
47,1929-11-16,1929,11,16,299.33,58.42,7.87,161.13,55.08,3328.87,760.31,4222,4292
48,1929-11-17,1929,11,17,261.84,84.98,8.2,183.27,51.05,3232.84,760.31,4163,4212
49,1929-11-18,1929,11,18,1947.16,561.2,19.67,416.21,118.23,5342.06,10695.09,14024,14051
50,1929-11-19,1929,11,19,1300.12,443.18,12.46,763.2,109.5,26657.45,6303.53,9536,9552
51,1929-11-20,1929,11,20,707.51,277.35,9.51,370.22,67.85,35069.15,2599.09,7941,7954
52,1929-11-21,1929,11,21,500.09,189.43,8.53,236.71,60.46,19866.43,1837.29,28495,28504
53,1929-11-22,1929,11,22,401.53,134.55,7.87,195.35,55.08,13030.23,1583.35,36653,36638
54,1929-11-23,1929,11,23,331.38,108.58,8.2,229.9,53.74,9560.12,1386.18,21253,21203
55,1929-11-24,1929,11,24,293.28,94.42,8.53,218.2,53.74,6943.36,1290.58,14321,14276
56,1929-11-25,1929,11,25,263.05,80.26,7.54,218.2,53.74,5576.66,1244.28,10804,10062
57,1929-11-26,1929,11,26,234.02,69.63,7.54,218.2,51.05,4627.18,1132.25,8076,7614
58,1929-11-27,1929,11,27,163.27,68.45,7.21,206.53,51.05,4541.9,1050.09,6627,6414
59,1929-11-28,1929,11,28,163.27,74.35,6.89,194.88,49.71,4550.05,1006.77,5634,6240
60,1929-11-29,1929,11,29,163.27,62.55,6.56,172.19,47.02,4330.97,903.71,5446,5848
61,1929-11-30,1929,11,30,163.27,35.41,5.9,150.6,35.6,4173.05,522.8,5073,5254
