sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
173,2039-03-22,2039,3,22,634,220,23,500,107,5630,1547,8689
174,2039-03-23,2039,3,23,576,210,18,455,98,5698,1582,7814
175,2039-03-24,2039,3,24,447,176,17,334,91,5925,1344,7349
176,2039-03-25,2039,3,25,417,155,15,282,86,5943,1203,7151
177,2039-03-26,2039,3,26,381,128,14,233,83,5581,1092,7070
178,2039-03-27,2039,3,27,363,115,14,212,80,4729,1050,6407
179,2039-03-28,2039,3,28,344,112,14,195,78,4429,999,5880
180,2039-03-29,2039,3,29,332,102,13,186,73,4089,940,5534
181,2039-03-30,2039,3,30,318,94,13,170,70,3935,855,5144
182,2039-03-31,2039,3,31,303,88,12,154,66,3744,798,4935
183,2039-04-01,2039,4,1,289,83,16,156,79,3609,848,4634
184,2039-04-02,2039,4,2,278,80,19,239,83,3609,1097,4655
185,2039-04-03,2039,4,3,266,75,13,180,71,3510,1009,4633
186,2039-04-04,2039,4,4,252,72,14,152,76,3366,868,4474
187,2039-04-05,2039,4,5,241,73,19,201,82,3349,1104,4633
188,2039-04-06,2039,4,6,235,73,14,204,79,3369,1292,4582
189,2039-04-07,2039,4,7,206,65,13,159,67,3349,983,4366
190,2039-04-08,2039,4,8,186,57,12,139,65,3275,814,4340
191,2039-04-09,2039,4,9,184,57,13,132,66,3049,741,4144
192,2039-04-10,2039,4,10,826,485,16,198,79,3099,3029,4183
193,2039-04-11,2039,4,11,436,173,22,166,85,4436,2934,5414
194,2039-04-12,2039,4,12,1099,733,24,248,93,7722,5462,8829
195,2039-04-13,2039,4,13,612,282,14,192,80,9451,3533,12239
196,2039-04-14,2039,4,14,403,153,13,158,75,9450,1778,12735
197,2039-04-15,2039,4,15,327,105,12,142,73,7076,1253,11088
198,2039-04-16,2039,4,16,484,148,12,132,72,4486,1134,9079
199,2039-04-17,2039,4,17,396,127,11,128,68,3774,1148,6955
200,2039-04-18,2039,4,18,345,101,10,118,65,3444,999,5471
201,2039-04-19,2039,4,19,350,96,10,108,62,3609,903,5053
202,2039-04-20,2039,4,20,366,104,10,97,58,3444,897,4062
203,2039-04-21,2039,4,21,325,95,10,92,58,3363,909,3959
204,2039-04-22,2039,4,22,338,93,10,87,56,3277,1082,3938
205,2039-04-23,2039,4,23,357,97,13,85,58,3295,1453,4402
206,2039-04-24,2039,4,24,582,211,10,94,55,3396,1255,4768
207,2039-04-25,2039,4,25,612,268,9,101,55,3389,1260,4781
208,2039-04-26,2039,4,26,425,166,8,94,53,3389,1064,4696
209,2039-04-27,2039,4,27,357,114,8,83,49,3500,918,4666
210,2039-04-28,2039,4,28,309,94,8,71,47,3445,823,4674
211,2039-04-29,2039,4,29,269,80,7,56,46,3244,721,4629
212,2039-04-30,2039,4,30,248,73,7,49,44,2953,693,4327
213,2039-05-01,2039,5,1,235,68,6,42,41,2795,646,4087
214,2039-05-02,2039,5,2,223,59,6,37,40,2704,608,3702
215,2039-05-03,2039,5,3,208,58,6,34,37,2550,584,3244
216,2039-05-04,2039,5,4,197,51,5,26,37,2263,549,2791
217,2039-05-05,2039,5,5,188,50,5,16,33,2166,527,2636
218,2039-05-06,2039,5,6,171,46,5,15,33,2045,505,2556
219,2039-05-07,2039,5,7,158,43,5,15,33,1935,482,2424
220,2039-05-08,2039,5,8,190,58,14,57,37,1923,639,2540
221,2039-05-09,2039,5,9,192,59,9,84,36,2019,616,2446
222,2039-05-10,2039,5,10,160,47,5,63,33,2023,529,2518
223,2039-05-11,2039,5,11,139,41,5,42,30,2010,489,2420
224,2039-05-12,2039,5,12,126,39,5,34,30,1969,463,2470
225,2039-05-13,2039,5,13,116,35,5,21,28,1893,449,2414
226,2039-05-14,2039,5,14,131,39,3,15,27,1800,463,2341
227,2039-05-15,2039,5,15,122,36,3,16,23,1712,447,2257
228,2039-05-16,2039,5,16,116,32,3,15,21,1632,421,2136
229,2039-05-17,2039,5,17,109,29,3,15,20,1572,400,1996
230,2039-05-18,2039,5,18,103,26,3,16,19,1520,376,1881
231,2039-05-19,2039,5,19,101,23,3,10,18,1469,342,1818
232,2039-05-20,2039,5,20,99,23,3,2,17,1416,323,1742
233,2039-05-21,2039,5,21,90,22,3,2,16,1367,302,1679
